Date,Open,High,Low,Close,Volume
2023-04-10,118.18019048329045,119.75853651896533,117.88133142990569,119.44100189208984,9477300
2023-04-11,119.82394433698916,120.42166257094746,119.1141512621524,120.02941131591797,10516300
2023-04-12,120.6457963086853,121.81321583133814,119.59979297662089,120.01072692871094,11821000
2023-04-13,119.97337616173378,120.5150462813545,118.45105653904598,120.4683609008789,12450200
2023-04-14,126.22137438479558,129.92909937936918,125.98789051486388,129.5648651123047,43931300
2023-04-17,130.70424602361553,130.80697947950446,128.56554039739228,130.59217834472656,16050500
2023-04-18,131.00314941057005,132.41338702348074,129.84506414684276,132.05848693847656,13760100
2023-04-19,131.89969982484027,132.15186638694743,131.12453169001014,131.89036560058594,9158100
2023-04-20,130.6669252593258,132.0864970243593,130.6015429309586,131.50746154785156,10586200
2023-04-21,130.5081577667996,131.78764489908252,129.61157337617786,131.2552947998047,11842500
2023-04-24,131.18057170318022,131.77828978527313,130.78830629708887,131.43272399902344,7567500
2023-04-25,130.37739294379983,130.71361027176334,128.53753898948895,128.57489013671875,10629300
2023-04-26,128.5282176604601,128.7056677114086,125.1473752185207,126.29611206054688,14416100
2023-04-27,127.01519944589609,128.79901927005207,126.69766486745453,127.99583435058594,9041100
2023-04-28,127.53821983923324,129.1819553139001,126.7070178778751,129.10723876953125,9887300
2023-05-01,132.86165818584794,133.8983271537462,131.52613727038226,131.87168884277344,20415800
2023-05-02,132.0584810017057,133.0017650271843,129.28469127957604,129.74232482910156,14113400
2023-05-03,129.29406252865815,129.50886375267822,126.79110740471344,126.99657440185547,12930900
2023-05-04,126.04395429213784,126.75374021475564,123.10204861463683,125.25943756103516,17089200
2023-05-05,127.4261763314049,128.77104588383023,126.9311916004048,127.70635986328125,11261400
2023-05-08,128.40680811856598,128.85509320709122,127.46352406161003,128.01455688476562,7484900
2023-05-09,126.94987108095202,127.90248947180115,126.27745049704824,127.3981704711914,7343600
2023-05-10,128.83639488315123,128.93912835459855,125.95987193335027,127.46350860595703,8133400
2023-05-11,126.08130780997631,127.77172899012716,125.98790854834499,127.06194305419922,7057300
2023-05-12,127.78108216391836,127.93984951394664,124.3348573436473,125.24077606201172,9988600
