date,close,A1_Confluence,A1_conf,A2_GannElliott,A2_conf,A2_wave,A2_trend,A3_DQN,A3_conf,A3_rsi,A4_3Wave,A4_conf,A4_mom5,call_votes,put_votes,hold_votes,confluence_level,majority,agreement_count,entry,stop,target1,target2,target3,avg_confidence
2023-07-20T00:00:00.000Z,452.18,CALL,0.6,CALL,0.65,2,UP,CALL,0.6088501064387447,69.5,CALL,0.65,0.58,4,0,0,ULTRA_4,CALL,4,452.18,444.32,463.28,470.68,481.78,0.63
2023-07-31T00:00:00.000Z,457.79,CALL,0.6,CALL,0.65,4,UP,CALL,0.5987126093713075,69.3,CALL,0.65,0.79,4,0,0,ULTRA_4,CALL,4,457.79,449.8,469.07,476.59,487.87,0.62
2023-09-22T00:00:00.000Z,430.42,PUT,0.6,PUT,0.65,2,DOWN,PUT,0.5715116139048217,44.0,PUT,0.65,-2.92,0,4,0,ULTRA_4,PUT,4,430.42,439.24,417.97,409.67,397.22,0.62
2023-09-26T00:00:00.000Z,425.88,PUT,0.6,PUT,0.65,4,DOWN,PUT,0.6073274564271864,34.6,PUT,0.65,-3.8,0,4,0,ULTRA_4,PUT,4,425.88,435.21,412.71,403.93,390.76,0.63
2023-10-20T00:00:00.000Z,421.19,PUT,0.6,PUT,0.65,2,DOWN,PUT,0.5815301962816506,42.1,PUT,0.65,-2.39,0,4,0,ULTRA_4,PUT,4,421.19,434.0,403.1,391.04,372.95,0.62
2023-10-27T00:00:00.000Z,410.68,PUT,0.6,PUT,0.65,2,DOWN,PUT,0.6090356472527455,36.4,PUT,0.65,-2.5,0,4,0,ULTRA_4,PUT,4,410.68,422.94,393.37,381.83,364.52,0.63
2024-01-10T00:00:00.000Z,476.56,CALL,0.6,CALL,0.65,2,UP,CALL,0.5973134466961643,63.9,CALL,0.65,1.66,4,0,0,ULTRA_4,CALL,4,476.56,467.85,488.86,497.06,509.36,0.62
2024-01-12T00:00:00.000Z,476.68,CALL,0.6,CALL,0.65,4,UP,CALL,0.5701556167141544,57.0,CALL,0.55,1.87,4,0,0,ULTRA_4,CALL,4,476.68,468.5,488.23,495.93,507.48,0.59
2024-01-22T00:00:00.000Z,483.45,CALL,0.6,CALL,0.65,4,UP,CALL,0.5984504391557917,67.1,CALL,0.65,1.42,4,0,0,ULTRA_4,CALL,4,483.45,473.91,496.92,505.9,519.37,0.62
2024-01-25T00:00:00.000Z,488.03,CALL,0.6,CALL,0.65,2,UP,CALL,0.5890520264883237,64.8,CALL,0.65,2.42,4,0,0,ULTRA_4,CALL,4,488.03,479.1,500.63,509.03,521.63,0.62
