date,close,A1_Confluence,A1_conf,A2_GannElliott,A2_conf,A2_wave,A2_trend,A3_DQN,A3_conf,A3_rsi,A4_3Wave,A4_conf,A4_mom5,call_votes,put_votes,hold_votes,confluence_level,majority,agreement_count,entry,stop,target1,target2,target3,avg_confidence
2023-04-05T00:00:00.000Z,407.6,HOLD,0.0,HOLD,0.0,0,NEUTRAL,HOLD,0.0,50.0,HOLD,0.0,0.0,0,0,4,NONE_0,NEUTRAL,0,407.6,407.6,407.6,407.6,407.6,0.0
2023-04-06T00:00:00.000Z,409.19,HOLD,0.0,HOLD,0.0,0,NEUTRAL,HOLD,0.0,50.0,HOLD,0.0,0.0,0,0,4,NONE_0,NEUTRAL,0,409.19,409.19,409.19,409.19,409.19,0.0
2023-04-10T00:00:00.000Z,409.61,HOLD,0.0,HOLD,0.0,0,NEUTRAL,HOLD,0.0,50.0,HOLD,0.0,0.0,0,0,4,NONE_0,NEUTRAL,0,409.61,409.61,409.61,409.61,409.61,0.0
2023-04-11T00:00:00.000Z,409.72,HOLD,0.0,HOLD,0.0,0,NEUTRAL,HOLD,0.0,50.0,HOLD,0.0,0.0,0,0,4,NONE_0,NEUTRAL,0,409.72,409.72,409.72,409.72,409.72,0.0
2023-04-12T00:00:00.000Z,408.05,HOLD,0.0,HOLD,0.0,0,NEUTRAL,HOLD,0.0,50.0,HOLD,0.0,0.0,0,0,4,NONE_0,NEUTRAL,0,408.05,408.05,408.05,408.05,408.05,0.0
2023-04-13T00:00:00.000Z,413.47,HOLD,0.0,HOLD,0.0,0,NEUTRAL,HOLD,0.0,50.0,HOLD,0.0,0.0,0,0,4,NONE_0,NEUTRAL,0,413.47,413.47,413.47,413.47,413.47,0.0
2023-04-14T00:00:00.000Z,412.46,HOLD,0.0,HOLD,0.0,0,NEUTRAL,HOLD,0.0,50.0,HOLD,0.0,0.0,0,0,4,NONE_0,NEUTRAL,0,412.46,412.46,412.46,412.46,412.46,0.0
2023-04-17T00:00:00.000Z,413.94,HOLD,0.0,HOLD,0.0,0,NEUTRAL,HOLD,0.0,50.0,HOLD,0.0,0.0,0,0,4,NONE_0,NEUTRAL,0,413.94,413.94,413.94,413.94,413.94,0.0
2023-04-18T00:00:00.000Z,414.21,HOLD,0.0,HOLD,0.0,0,NEUTRAL,HOLD,0.0,50.0,HOLD,0.0,0.0,0,0,4,NONE_0,NEUTRAL,0,414.21,414.21,414.21,414.21,414.21,0.0
2023-04-19T00:00:00.000Z,414.14,HOLD,0.0,HOLD,0.0,0,NEUTRAL,HOLD,0.0,50.0,HOLD,0.0,0.0,0,0,4,NONE_0,NEUTRAL,0,414.14,414.14,414.14,414.14,414.14,0.0
2023-04-20T00:00:00.000Z,411.88,HOLD,0.0,HOLD,0.0,0,NEUTRAL,HOLD,0.0,50.0,HOLD,0.0,0.0,0,0,4,NONE_0,NEUTRAL,0,411.88,411.88,411.88,411.88,411.88,0.0
2023-04-21T00:00:00.000Z,412.2,CALL,0.6,HOLD,0.0,1,UP,PUT,0.6,75.7,HOLD,0.0,-0.06,1,1,2,WEAK_1,NEUTRAL,1,412.2,412.2,412.2,412.2,412.2,0.0
2023-04-24T00:00:00.000Z,412.63,CALL,0.6,CALL,0.65,2,UP,PUT,0.6,74.2,HOLD,0.0,-0.32,2,1,1,PARTIAL_2,CALL,2,412.63,404.51,423.46,430.68,441.51,0.62
2023-04-25T00:00:00.000Z,406.08,CALL,0.6,HOLD,0.0,3,UP,CALL,0.586607196770461,62.1,PUT,0.55,-1.96,2,1,1,PARTIAL_2,CALL,2,406.08,398.6,417.3,424.78,436.0,0.59
2023-04-26T00:00:00.000Z,404.36,CALL,0.6,CALL,0.65,4,UP,CALL,0.5836208147016131,60.9,PUT,0.55,-2.36,3,1,0,SUPER_3,CALL,3,404.36,396.06,415.85,423.51,435.0,0.61
2023-04-27T00:00:00.000Z,412.41,CALL,0.6,HOLD,0.0,5,UP,CALL,0.5916804932749313,62.8,HOLD,0.0,0.13,2,0,2,PARTIAL_2,CALL,2,412.41,404.09,424.89,433.21,445.69,0.6
2023-04-28T00:00:00.000Z,415.93,CALL,0.6,HOLD,0.0,1,UP,CALL,0.5957004287569192,63.7,CALL,0.65,0.9,3,0,1,SUPER_3,CALL,3,415.93,407.51,428.56,436.98,449.61,0.62
2023-05-01T00:00:00.000Z,415.51,CALL,0.6,CALL,0.65,2,UP,CALL,0.573043813724311,57.8,CALL,0.65,0.7,4,0,0,ULTRA_4,CALL,4,415.51,406.54,428.17,436.61,449.27,0.62
2023-05-02T00:00:00.000Z,410.84,CALL,0.6,HOLD,0.0,3,UP,HOLD,0.0,50.1,CALL,0.55,1.17,2,0,2,PARTIAL_2,CALL,2,410.84,401.98,424.13,432.99,446.28,0.57
2023-05-03T00:00:00.000Z,408.02,CALL,0.6,CALL,0.65,4,UP,HOLD,0.0,49.5,CALL,0.55,0.91,3,0,1,SUPER_3,CALL,3,408.02,398.38,421.37,430.27,443.62,0.6
