date,close,A1_Confluence,A1_conf,A2_GannElliott,A2_conf,A2_wave,A2_trend,A3_DQN,A3_conf,A3_rsi,A4_3Wave,A4_conf,A4_mom5,call_votes,put_votes,hold_votes,confluence_level,majority,agreement_count,entry,stop,target1,target2,target3,avg_confidence
2023-07-21T00:00:00.000Z,452.18,CALL,0.6,CALL,0.65,4,UP,CALL,0.6034355665022019,68.3,CALL,0.65,0.65,4,0,0,ULTRA_4,CALL,4,452.18,444.96,462.38,469.18,479.38,0.63
2023-09-21T00:00:00.000Z,431.39,PUT,0.6,PUT,0.65,2,DOWN,PUT,0.5889274557153545,40.1,PUT,0.65,-4.21,0,4,0,ULTRA_4,PUT,4,431.39,440.21,418.94,410.64,398.19,0.62
2023-09-25T00:00:00.000Z,432.23,PUT,0.6,PUT,0.65,4,DOWN,PUT,0.5757785657307832,42.6,PUT,0.65,-2.57,0,4,0,ULTRA_4,PUT,4,432.23,441.28,419.45,410.93,398.15,0.62
2023-10-05T00:00:00.000Z,424.5,PUT,0.6,PUT,0.65,2,DOWN,PUT,0.619282033073638,30.5,PUT,0.65,-0.94,0,4,0,ULTRA_4,PUT,4,424.5,435.36,409.17,398.95,383.62,0.63
2023-10-19T00:00:00.000Z,426.43,PUT,0.6,PUT,0.65,2,DOWN,PUT,0.5664709153263372,45.5,PUT,0.55,-1.67,0,4,0,ULTRA_4,PUT,4,426.43,439.05,408.61,396.73,378.91,0.59
2023-10-23T00:00:00.000Z,420.46,PUT,0.6,PUT,0.65,4,DOWN,PUT,0.5904377654932917,39.6,PUT,0.65,-3.57,0,4,0,ULTRA_4,PUT,4,420.46,433.21,402.46,390.46,372.46,0.62
2023-10-26T00:00:00.000Z,412.55,PUT,0.6,PUT,0.65,2,DOWN,PUT,0.6058769082476958,37.0,PUT,0.65,-3.25,0,4,0,ULTRA_4,PUT,4,412.55,424.88,395.15,383.55,366.15,0.63
2023-10-30T00:00:00.000Z,415.59,PUT,0.6,PUT,0.65,4,DOWN,PUT,0.5905054571326391,41.4,PUT,0.65,-1.16,0,4,0,ULTRA_4,PUT,4,415.59,428.02,398.04,386.34,368.79,0.62
2023-12-22T00:00:00.000Z,473.65,CALL,0.6,CALL,0.65,2,UP,CALL,0.6098665782505819,69.4,CALL,0.65,0.92,4,0,0,ULTRA_4,CALL,4,473.65,464.53,486.52,495.1,507.97,0.63
2024-01-09T00:00:00.000Z,473.88,CALL,0.6,CALL,0.65,2,UP,CALL,0.5946647062198895,63.3,CALL,0.65,0.26,4,0,0,ULTRA_4,CALL,4,473.88,465.27,486.03,494.13,506.28,0.62
2024-01-11T00:00:00.000Z,476.35,CALL,0.6,CALL,0.65,4,UP,CALL,0.5898016619858211,62.1,CALL,0.55,1.94,4,0,0,ULTRA_4,CALL,4,476.35,467.98,488.17,496.05,507.87,0.6
2024-01-19T00:00:00.000Z,482.43,CALL,0.6,CALL,0.65,4,UP,CALL,0.5744930456426607,57.7,CALL,0.65,1.28,4,0,0,ULTRA_4,CALL,4,482.43,472.74,496.11,505.23,518.91,0.62
