date,close,A1_Confluence,A1_conf,A2_GannElliott,A2_conf,A2_wave,A2_trend,A3_DQN,A3_conf,A3_rsi,A4_3Wave,A4_conf,A4_mom5,call_votes,put_votes,hold_votes,confluence_level,majority,agreement_count,entry,stop,target1,target2,target3,avg_confidence
2023-06-28T00:00:00.000Z,436.39,CALL,0.6,CALL,0.65,2,UP,CALL,0.6075127462918735,66.2,HOLD,0.0,0.33,3,0,1,SUPER_3,CALL,3,436.39,427.36,448.9,457.24,469.75,0.62
2023-06-30T00:00:00.000Z,443.28,CALL,0.6,CALL,0.65,4,UP,PUT,0.6,71.1,CALL,0.65,2.32,3,1,0,SUPER_3,CALL,3,443.28,433.94,456.21,464.83,477.76,0.63
2023-07-03T00:00:00.000Z,443.79,CALL,0.6,HOLD,0.0,5,UP,CALL,0.6052263158677118,67.4,CALL,0.65,2.86,3,0,1,SUPER_3,CALL,3,443.79,435.53,456.18,464.44,476.83,0.62
2023-07-05T00:00:00.000Z,443.13,CALL,0.6,HOLD,0.0,1,UP,CALL,0.6058699000779907,67.7,CALL,0.65,1.6,3,0,1,SUPER_3,CALL,3,443.13,435.09,455.19,463.23,475.29,0.62
2023-07-10T00:00:00.000Z,439.66,CALL,0.6,CALL,0.65,4,UP,CALL,0.5869810415166191,61.6,PUT,0.55,-0.82,3,1,0,SUPER_3,CALL,3,439.66,431.73,450.64,457.96,468.94,0.61
2023-07-12T00:00:00.000Z,446.02,CALL,0.6,HOLD,0.0,1,UP,CALL,0.592303457522505,62.8,CALL,0.65,0.65,3,0,1,SUPER_3,CALL,3,446.02,438.52,457.27,464.77,476.02,0.61
2023-07-14T00:00:00.000Z,449.28,CALL,0.6,HOLD,0.0,3,UP,CALL,0.5915988696856593,62.5,CALL,0.65,2.45,3,0,1,SUPER_3,CALL,3,449.28,441.76,460.56,468.08,479.36,0.61
2023-07-18T00:00:00.000Z,454.19,CALL,0.6,HOLD,0.0,5,UP,CALL,0.599998267855,66.3,CALL,0.65,2.65,3,0,1,SUPER_3,CALL,3,454.19,446.83,465.23,472.59,483.63,0.62
2023-07-21T00:00:00.000Z,452.18,CALL,0.6,HOLD,0.0,3,UP,CALL,0.6034355665022019,68.3,CALL,0.65,0.65,3,0,1,SUPER_3,CALL,3,452.18,445.38,462.38,469.18,479.38,0.62
2023-07-24T00:00:00.000Z,454.2,CALL,0.6,CALL,0.65,4,UP,PUT,0.6,75.3,CALL,0.65,0.75,3,1,0,SUPER_3,CALL,3,454.2,446.62,464.7,471.7,482.2,0.63
2023-08-01T00:00:00.000Z,456.48,CALL,0.6,HOLD,0.0,5,UP,CALL,0.5926944767236408,66.6,CALL,0.65,0.23,3,0,1,SUPER_3,CALL,3,456.48,449.36,467.16,474.28,484.96,0.61
2023-08-03T00:00:00.000Z,448.84,CALL,0.6,CALL,0.65,2,UP,CALL,0.5815062986989816,61.3,PUT,0.55,-0.81,3,1,0,SUPER_3,CALL,3,448.84,440.61,460.24,467.84,479.24,0.61
2023-08-07T00:00:00.000Z,450.71,CALL,0.6,CALL,0.65,4,UP,CALL,0.5878053722899444,62.4,PUT,0.55,-1.55,3,1,0,SUPER_3,CALL,3,450.71,442.0,462.77,470.81,482.87,0.61
