2025-11-23 23:16:31 | INFO     | main                           | ================================================================================
2025-11-23 23:16:31 | INFO     | main                           | 
>>> Processing SPY
2025-11-23 23:16:31 | INFO     | fetch_tiingo_daily_with_retry  | [Attempt 1/3] Fetching SPY from Tiingo...
2025-11-23 23:16:32 | INFO     | fetch_tiingo_daily_with_retry  | Successfully fetched 768 bars for SPY
2025-11-23 23:16:32 | INFO     | main                           | Processing 768 bars
2025-11-23 23:16:32 | INFO     | write_spy_csv                  | Wrote 768 bars to data\SPY.csv
2025-11-23 23:16:32 | INFO     | write_spy_confluence_csv       | Wrote 3 confluence bars to data\SPY_confluence.csv
2025-11-23 23:16:32 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:32 | INFO     | write_portfolio_confluence     | Wrote 3 base trades to reports\portfolio_confluence.csv
2025-11-23 23:16:33 | INFO     | build_gann_and_super_confluence | Wrote 0 Gann–Elliott rows to reports\portfolio_gann_elliott.csv
2025-11-23 23:16:33 | INFO     | build_gann_and_super_confluence | Wrote 0 Super-Confluence rows to reports\portfolio_super_confluence.csv
2025-11-23 23:16:33 | INFO     | main                           | Wrote performance metrics to data\performance_confluence.json
2025-11-23 23:16:33 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:33 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:33 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:33 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:33 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:33 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:33 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:33 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:33 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:33 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:33 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:33 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:16:33 | INFO     | main                           | Wrote tuning results to data\tuning_confluence.json
2025-11-23 23:16:33 | INFO     | main                           | 
================================================================================
2025-11-23 23:16:33 | INFO     | main                           | CONFLUENCE AGENT COMPLETE
2025-11-23 23:16:33 | INFO     | main                           | ================================================================================
2025-11-23 23:17:51 | INFO     | main                           | ================================================================================
2025-11-23 23:17:51 | INFO     | main                           | CONFLUENCE AGENT START - WEEK 2 FIXES
2025-11-23 23:17:51 | INFO     | main                           | Strategy Mode: UNIFIED
2025-11-23 23:17:51 | INFO     | main                           | ================================================================================
2025-11-23 23:17:51 | INFO     | main                           | 
>>> Processing SPY
2025-11-23 23:17:51 | INFO     | fetch_tiingo_daily_with_retry  | [Attempt 1/3] Fetching SPY from Tiingo...
2025-11-23 23:17:51 | INFO     | fetch_tiingo_daily_with_retry  | Successfully fetched 768 bars for SPY
2025-11-23 23:17:51 | INFO     | main                           | Processing 768 bars
2025-11-23 23:17:51 | INFO     | write_spy_csv                  | Wrote 768 bars to data\SPY.csv
2025-11-23 23:17:51 | INFO     | write_spy_confluence_csv       | Wrote 3 confluence bars to data\SPY_confluence.csv
2025-11-23 23:17:51 | INFO     | build_confluence_trades        | Generated 3 base confluence trades
2025-11-23 23:17:51 | INFO     | write_portfolio_confluence     | Wrote 3 base trades to reports\portfolio_confluence.csv
2025-11-23 23:17:51 | INFO     | build_gann_and_super_confluence | Wrote 0 Gann–Elliott rows to reports\portfolio_gann_elliott.csv
